"Comunidad","Fecha","Total"
"Andalucía","2023","137,772"
"Andalucía","2022","146,605"
"Andalucía","2021","115,687"
"Aragón","2023","27,843"
"Aragón","2022","29,205"
"Aragón","2021","17,989"
"Asturias","2023","11,775"
"Asturias","2022","11,328"
"Asturias","2021","5,673"
"Balears","2023","41,292"
"Balears","2022","40,254"
"Balears","2021","28,340"
"Canarias","2023","54,866"
"Canarias","2022","53,875"
"Canarias","2021","40,322"
"Cantabria","2023","7,925"
"Cantabria","2022","8,267"
"Cantabria","2021","4,669"
"Castilla y León","2023","33,990"
"Castilla y León","2022","34,667"
"Castilla y León","2021","19,938"
"Castilla - La Mancha","2023","38,718"
"Castilla - La Mancha","2022","39,877"
"Castilla - La Mancha","2021","24,446"
"Cataluña","2023","240,753"
"Cataluña","2022","246,869"
"Cataluña","2021","167,300"
"Comunitat Valenciana","2023","170,816"
"Comunitat Valenciana","2022","168,877"
"Comunitat Valenciana","2021","112,763"
"Extremadura","2023","8,029"
"Extremadura","2022","7,835"
"Extremadura","2021","4,809"
"Galicia","2023","30,956"
"Galicia","2022","31,324"
"Galicia","2021","17,804"
"Madrid","2023","202,894"
"Madrid","2022","206,989"
"Madrid","2021","130,026"
"Murcia","2023","36,485"
"Murcia","2022","37,680"
"Murcia","2021","28,626"
"Navarra","2023","12,581"
"Navarra","2022","13,678"
"Navarra","2021","8,523"
"País Vasco","2023","33,311"
"País Vasco","2022","34,885"
"País Vasco","2021","19,557"
"Rioja","2023","5,838"
"Rioja","2022","6,068"
"Rioja","2021","4,185"
"Ceuta","2023","572"
"Ceuta","2022","625"
"Ceuta","2021","475"
"Melilla","2023","1,612"
"Melilla","2022","1,566"
"Melilla","2021","1,177"
